uuid;identifier;createdBy;createdAtGMT;modifiedBy;modifiedAtGMT;SurveyUnitID;MostRecentlyComputedTotal;Latitude;Longitude;Northing;Easting;Accuracy;LandUse;AgriculturalCondition;Topography;Slope;Visibility;Passability;Drainage;Vegetation;Stoniness;Shade;NumberOfRows;NumberOfWalkers;RowIntervalM;WalkerIntervalM;Walkers;MostRecentlyComputedAncient;MostRecentlyComputedModern;MostRecentlyComputedAC;MostRecentlyComputedHM;MostRecentlyComputedLithic;MostRecentlyComputedDaub;MostRecentlyComputedGlass;MostRecentlyComputedOther;SampleTaken;Date;geospatialcolumn;SamplePhoto
1.00E+18;10030: 60;Adela Sobotkova;2020-01-20 10:27:42.961 GMT;Adela Sobotkova;2020-01-20 10:34:08 GMT;10030;60;22.86031;38.029445;663271.9021;4210715.282;2,25;Scrub;Partially Fallow;Undulating Landscape;Gentle;40-60%;3;1;2;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";60;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663271.902122 4210715.281556);Y
1.00E+18;10031: 181;Adela Sobotkova;2020-01-20 10:36:21.582 GMT;Adela Sobotkova;2020-01-20 10:43:58 GMT;10031;181;22.860662;38.029458;663302.7695;4210717.342;3;Scrub;Partially Fallow;Undulating Landscape;Gentle;40-60%;3;1;2;2;1;6;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";181;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663302.769513 4210717.342414);Y
1.00E+18;10032: 64;Adela Sobotkova;2020-01-20 10:45:23.749 GMT;Adela Sobotkova;2020-01-20 11:00:39 GMT;10032;64;22.860041;38.030133;663246.7636;4210791.154;2;Perennial Agriculture;Partially Fallow;Undulating Landscape;Gentle;40-60%;1;1;2;3;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";64;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663246.763613 4210791.154341);Y
1.00E+18;10033: 143;Adela Sobotkova;2020-01-20 11:00:48.323 GMT;Adela Sobotkova;2020-01-20 11:05:44 GMT;10033;143;22.860109;38.029918;663253.2095;4210767.416;2;Perennial Agriculture;Partially Fallow;Undulating Landscape;Gentle;40-60%;1;1;2;3;1;4;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";137;0;6;0;0;0;0;0;Yes;20/01/2020;POINT(663253.2095 4210767.41588);Y
1.00E+18;10034: 55;Adela Sobotkova;2020-01-20 11:07:36.875 GMT;Adela Sobotkova;2020-01-20 11:11:58 GMT;10034;55;22.859863;38.029656;663232.199;4210737.911;2;Perennial Agriculture;Partially Fallow;Undulating Landscape;Gentle;40-60%;1;1;3;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";54;0;1;0;0;0;0;0;Yes;20/01/2020;POINT(663232.198984 4210737.910576);Y, focus not great
1.00E+18;10035: 16;Adela Sobotkova;2020-01-20 11:12:25.900 GMT;Adela Sobotkova;2020-01-20 11:18:20 GMT;10035;16;22.859814;38.029885;663227.3897;4210763.236;2,25;Perennial Agriculture;Partially Fallow;Undulating Landscape;Gentle;40-60%;1;1;2;2;1;4;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";13;0;3;0;0;0;0;0;Yes;20/01/2020;POINT(663227.38975 4210763.235949);Y, focus not great
1.00E+18;10037: 91;Adela Sobotkova;2020-01-20 11:27:07.208 GMT;Petra Hermankova;2020-01-20 15:43:29 GMT;10037;91;22.859232;38.029647;663176.8341;4210735.804;2,25;Perennial Agriculture;Partially Fallow;Undulating Landscape;Gentle;40-60%;2;1;3;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";91;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663176.834063 4210735.80408);Y
1.00E+18;20010: 4;Petra Hermankova;2020-01-20 09:58:50.581 GMT;Petra Hermankova;2020-01-20 10:06:24 GMT;20010;4;22.85656814;38.03193259;4210984.756;662937.9537;3;Scrub;Partially Fallow;River Terrace;Gentle;40-60%;2;1;3;2;1;3;5;5;5;"1 - Sarah Roach (SR)
2 - Dean Mcmah (DMc)
3 - Samantha Mills (SM)
4 - Reeham Khandkar (RK)
5 - Zed Griseh (ZG)";4;0;0;0;0;0;0;0;No;20/01/2020;POINT(662937.953693 4210984.756061);
1.00E+18;10038: 35;Adela Sobotkova;2020-01-20 11:33:22.432 GMT;Adela Sobotkova;2020-01-20 11:39:01 GMT;10038;35;22.859325;38.029405;663185.534;4210709.113;2,25;Pasture;Partially Fallow;Undulating Landscape;Gentle;40-60%;2;1;2;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";32;0;3;0;0;0;0;0;Yes;20/01/2020;POINT(663185.534033 4210709.113351);Y, focus not great
1.00E+18;10041: 49;Adela Sobotkova;2020-01-20 12:02:56.330 GMT;Adela Sobotkova;2020-01-20 12:07:07 GMT;10041;49;22.85905;38.029386;663161.4385;4210706.522;3,3;Scrub;Partially Fallow;Undulating Landscape;Gentle;20-40%;1;1;3;2;1;5;5;5;5;"1 - Alison Carfi (AC)
2 - Alexandra Hewitt (AH)
3 - David Morley (DM)
4 - Michael Hitches (MH)
5 - Jacob Kiefel (JK)";49;0;0;0;0;0;0;0;Yes;20/01/2020;POINT(663161.438479 4210706.52228);Y
